,test,secondsTotal.flakerake-obo,failureID-flakerake-obo.uniqueCount,secondsTotal.flakerake,failureID-flakerake.uniqueCount,secondsTotal.isolatedRerun,failureID-isolatedRerun.uniqueCount
,com.squareup.okhttp.internal.spdy.SpdyConnectionTest#headersOnlyStreamIsClosedAfterReplyHeaders,5002.183218717575,3,8864.018898248672,3,187.30800000001403,3
,com.squareup.okhttp.internal.spdy.SpdyConnectionTest#initialSettingsWithWindowSizeAdjustsConnection,32439.48197889328,2,52624.47135949135,2,5189.266999999825,2
,com.squareup.okhttp.internal.spdy.SpdyConnectionTest#maxFrameSizeHonored,4687.151268959045,3,9228.102537870407,3,247.5490000000003,3
,com.squareup.okhttp.internal.spdy.SpdyConnectionTest#peerHttp2ServerZerosCompressionTable,2706.6154227256775,1,3731.2361629009247,1,219.10199999997528,1
,com.squareup.okhttp.internal.spdy.SpdyConnectionTest#pushPromiseStream,4256.703307390213,2,21.89200711250305,2,265.5130000000095,2
,com.squareup.okhttp.internal.spdy.SpdyConnectionTest#readSendsWindowUpdate,8526.09512591362,2,14045.789934158325,2,224.68299999997805,2
,com.squareup.okhttp.internal.spdy.SpdyConnectionTest#readSendsWindowUpdateHttp2,8589.245366811752,1,14612.188423871994,1,274.82199999999943,1
,com.squareup.okhttp.internal.spdy.SpdyConnectionTest#receiveGoAway,5677.417188405991,3,14456.903505563736,3,192.8540000000249,3
,com.squareup.okhttp.internal.spdy.SpdyConnectionTest#receiveGoAwayHttp2,7026.245082855225,1,15396.582794904709,1,255.88600000001526,1
,com.squareup.okhttp.internal.spdy.SpdyConnectionTest#remoteSendsDataAfterInFinished,5748.372602701187,1,7802.6887764930725,1,194.7580000000186,1
,com.squareup.okhttp.internal.spdy.SpdyConnectionTest#replyWithNoData,3534.845635175705,1,21.532833576202393,1,208.30399999999494,1
,com.squareup.okhttp.internal.spdy.SpdyConnectionTest#serverClosesClientInputStream,6482.372187614441,2,8938.435529232025,2,191.79000000001528,2
,controllers.ApplicationControllerTest#testThatHomepageWorks,83691.537702322,1,83775.73404097557,1,56666.21999999992,1
,info.archinnov.achilles.internal.statement.wrapper.RegularStatementWrapperTest#should_trace_query,2130.1111118793488,1,2131.0919473171234,1,527.9949999999988,1
,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT#should_persist_with_ttl,788.061669588089,2,815.0316557884216,2,130862.6910000005,2
,info.archinnov.achilles.test.integration.tests.ClusteredEntityIT#should_update_with_ttl,832.9381895065308,3,876.1120417118073,3,130826.62100000046,3
,info.archinnov.achilles.test.integration.tests.SecondaryIndexIT#should_return_entities_for_indexed_query,855.4042336940765,2,836.537789106369,2,121066.86500000012,2
,io.elasticjob.lite.event.rdb.JobEventRdbSearchTest#assertFindJobExecutionEventsWithTime,4602.7280168533325,1,4592.094425678253,1,197.0049999999943,1
,io.elasticjob.lite.event.rdb.JobEventRdbSearchTest#assertFindJobStatusTraceEventsWithTime,4606.657073020935,1,4588.390326499939,1,190.24400000000205,1
,io.elasticjob.lite.reg.zookeeper.ZookeeperRegistryCenterQueryWithoutCacheTest#assertGetRegistryCenterTime,54834.384627342224,3,75987.72897100449,3,237.35299999999788,3
,io.undertow.server.handlers.DateHandlerTestCase#testDateHandler,11778.178770065308,4,17958.938471078873,4,17593.25400000016,4
,io.undertow.server.handlers.proxy.LoadBalancingProxyTestCase#testLoadSharedWithServerShutdown,57978.44366836548,2,86457.99183726311,2,3304.1760000000354,2
,io.undertow.server.security.DigestAuthentication2069TestCase#testDigestSuccess,16913.490359067917,5,28034.153015613556,5,2936.4420000000046,5
,io.undertow.server.security.DigestAuthentication2069TestCase#testNonceReUse,18540.823798656464,6,30956.720324277878,6,2993.790999999991,6
,io.undertow.server.security.DigestAuthenticationAuthTestCase#testDigestSuccess,22046.414914608,4,41769.50865507126,4,3119.0139999999747,4
,io.undertow.server.security.SpnegoAuthenticationTestCase#testSpnegoSuccess,38742.46983575821,3,72719.5546412468,3,6086.985999999945,3
,io.undertow.server.security.SpnegoBasicAuthenticationTestCase#testSpnegoSuccess,38466.3942053318,3,72332.29431819916,3,6094.066999999971,3
,me.prettyprint.cassandra.dao.SimpleCassandraDaoTest#testInsertGetDelete,13870.773763895035,1,13572.765043020248,1,2345.319000000029,1
,me.prettyprint.cassandra.examples.ExampleDaoV2Test#testInsertGetDelete,17137.996195316315,1,17260.58095741272,1,846.6680000000027,1
,me.prettyprint.cassandra.examples.ExampleDaoV2Test#testMultiInsertGetDelete,19241.56511926651,1,19281.68172478676,1,906.197000000008,1
,me.prettyprint.cassandra.model.MultigetCountQueryTest#testMultigetCount,11602.16205239296,1,11901.560961008072,1,832.1160000000012,1
,me.prettyprint.cassandra.model.MutatorTest#testBatchMutationManagement,21251.06188082695,1,21312.80811905861,1,890.2490000000065,1
