sleepyline.cause,sleepyline
java/nio/channels/SocketChannel.socket()Ljava/net/Socket;,org/apache/tomcat/util/net/NioEndpoint:setSocketOptions:654
java/util/concurrent/ConcurrentLinkedQueue.poll()Ljava/lang/Object;,org/apache/tomcat/util/net/NioEndpoint$2:poll:187
java/nio/ByteBuffer.allocate(I)Ljava/nio/ByteBuffer;,org/apache/tomcat/util/net/NioChannel:<clinit>:46
java/util/concurrent/atomic/AtomicLong.incrementAndGet()J,org/apache/tomcat/util/threads/LimitLatch$Sync:tryAcquireShared:43
java/util/concurrent/ConcurrentLinkedQueue.poll()Ljava/lang/Object;,org/apache/tomcat/util/net/NioEndpoint$4:poll:266
java/util/concurrent/atomic/AtomicInteger.incrementAndGet()I,org/apache/tomcat/util/net/NioEndpoint:getPoller0:353
java/util/concurrent/atomic/AtomicLong.incrementAndGet()J,org/apache/tomcat/util/net/NioEndpoint$Poller:addEvent:1003
java/nio/channels/Selector.wakeup()Ljava/nio/channels/Selector;,org/apache/tomcat/util/net/NioEndpoint$Poller:addEvent:1003
java/nio/ByteBuffer.allocate(I)Ljava/nio/ByteBuffer;,org/apache/tomcat/util/net/NioEndpoint$NioBufferHandler:<init>:1626
java/util/concurrent/ConcurrentLinkedQueue.poll()Ljava/lang/Object;,org/apache/tomcat/util/net/NioEndpoint$3:poll:226
java/nio/channels/SocketChannel.socket()Ljava/net/Socket;,org/apache/tomcat/util/net/NioEndpoint:setSocketOptions:655
java/nio/ByteBuffer.allocate(I)Ljava/nio/ByteBuffer;,org/apache/tomcat/util/net/NioEndpoint$NioBufferHandler:<init>:1625
java/util/concurrent/ConcurrentLinkedQueue.poll()Ljava/lang/Object;,org/apache/tomcat/util/net/NioEndpoint$2:poll:188
java/util/concurrent/ConcurrentLinkedQueue.offer(Ljava/lang/Object;)Z,org/apache/tomcat/util/net/NioEndpoint$Poller:addEvent:1001
java/lang/System.currentTimeMillis()J,org/apache/tomcat/util/net/SocketWrapper:<init>:27
java/util/concurrent/ConcurrentLinkedQueue.poll()Ljava/lang/Object;,org/apache/tomcat/util/net/NioEndpoint$4:poll:265
java/lang/System.currentTimeMillis()J,org/apache/tomcat/util/net/SocketWrapper:reset:110
java/nio/channels/ServerSocketChannel.accept()Ljava/nio/channels/SocketChannel;,org/apache/tomcat/util/net/NioEndpoint$Acceptor:run:810
java/util/concurrent/ConcurrentLinkedQueue.poll()Ljava/lang/Object;,org/apache/tomcat/util/net/NioEndpoint$Poller:register:1075
java/util/concurrent/ConcurrentLinkedQueue.poll()Ljava/lang/Object;,org/apache/tomcat/util/net/NioEndpoint:setSocketOptions:657
java/lang/System.currentTimeMillis()J,ch/qos/logback/core/ContextBase:<init>:30
java/lang/System.currentTimeMillis()J,ch/qos/logback/core/status/StatusBase:<init>:41
java/lang/System.currentTimeMillis()J,ch/qos/logback/core/status/StatusBase:<init>:40
java/util/concurrent/locks/ReentrantLock.lock()V,ch/qos/logback/core/OutputStreamAppender:setOutputStream:176
java/util/concurrent/locks/Lock.lock()V,org/apache/catalina/core/ContainerBase:getRealm:734
java/util/concurrent/locks/ReentrantLock.unlock()V,ch/qos/logback/core/OutputStreamAppender:setOutputStream:189
java/util/concurrent/locks/ReentrantLock.unlock()V,ch/qos/logback/core/OutputStreamAppender:setOutputStream:190
java/lang/System.currentTimeMillis()J,ch/qos/logback/core/spi/AppenderAttachableImpl:<clinit>:110
java/util/concurrent/locks/ReentrantLock.lock()V,ch/qos/logback/core/OutputStreamAppender:setOutputStream:177
java/util/concurrent/locks/Lock.lock()V,org/apache/catalina/core/ContainerBase:getRealm:735
java/lang/System.currentTimeMillis()J,ch/qos/logback/core/ContextBase:<init>:29
java/lang/System.currentTimeMillis()J,ch/qos/logback/core/spi/AppenderAttachableImpl:<clinit>:109
java/util/concurrent/CopyOnWriteArrayList.addIfAbsent(Ljava/lang/Object;)Z,ch/qos/logback/core/spi/AppenderAttachableImpl:addAppender:40
java/util/concurrent/locks/Lock.unlock()V,org/apache/catalina/core/ContainerBase:getRealm:742
java/util/concurrent/locks/Lock.unlock()V,org/apache/catalina/core/ContainerBase:getRealm:741
java/util/concurrent/CopyOnWriteArrayList.addIfAbsent(Ljava/lang/Object;)Z,ch/qos/logback/core/spi/AppenderAttachableImpl:addAppender:39
java/nio/channels/Selector.selectNow()I,org/apache/tomcat/util/net/NioBlockingSelector$BlockPoller:run:387
java/nio/channels/SocketChannel.socket()Ljava/net/Socket;,org/apache/tomcat/util/net/NioEndpoint:closeSocket:867
java/util/concurrent/atomic/AtomicLong.get()J,org/apache/tomcat/util/threads/LimitLatch:getCount:81
java/nio/channels/SocketChannel.socket()Ljava/net/Socket;,org/apache/tomcat/util/net/NioEndpoint:closeSocket:868
java/util/concurrent/atomic/AtomicLong.decrementAndGet()J,org/apache/tomcat/util/threads/LimitLatch$Sync:tryReleaseShared:56
java/lang/Thread.sleep(J)V,org/apache/tomcat/util/net/NioEndpoint$Acceptor:run:791
java/util/concurrent/atomic/AtomicLong.decrementAndGet()J,org/apache/tomcat/util/threads/LimitLatch$Sync:tryReleaseShared:55
java/util/concurrent/atomic/AtomicLong.get()J,org/apache/tomcat/util/threads/LimitLatch:getCount:80
java/lang/Thread.sleep(J)V,org/apache/tomcat/util/net/NioEndpoint$Acceptor:run:790
java/nio/channels/Selector.selectedKeys()Ljava/util/Set;,org/apache/hadoop/ipc/Server$Responder:run:479
java/nio/channels/Selector.select(J)I,org/apache/hadoop/ipc/Server$Responder:run:479
java/nio/channels/Selector.selectedKeys()Ljava/util/Set;,org/apache/hadoop/ipc/Server$Responder:run:480
java/lang/Thread.sleep(J)V,org/apache/hadoop/hdfs/DFSClient$LeaseChecker:run:1078
java/net/ServerSocket.accept()Ljava/net/Socket;,org/apache/hadoop/hdfs/server/datanode/DataXceiverServer:run:131
java/net/ServerSocket.accept()Ljava/net/Socket;,org/apache/hadoop/hdfs/server/datanode/DataXceiverServer:run:130
java/net/ServerSocket.close()V,org/apache/hadoop/hdfs/server/datanode/DataXceiverServer:run:147
java/lang/System.currentTimeMillis()J,org/apache/log4j/spi/LoggingEvent:<init>:162
java/lang/System.currentTimeMillis()J,org/apache/log4j/spi/LoggingEvent:<init>:161
java/net/ServerSocket.close()V,org/apache/hadoop/hdfs/server/datanode/DataXceiverServer:run:146
java/util/concurrent/DelayQueue.clear()V,org/apache/hadoop/hbase/master/RegionServerOperationQueue:shutdown:200
java/nio/channels/WritableByteChannel.write(Ljava/nio/ByteBuffer;)I,org/apache/hadoop/hbase/ipc/HBaseServer:channelWrite:1135
java/nio/channels/WritableByteChannel.write(Ljava/nio/ByteBuffer;)I,org/apache/hadoop/hbase/ipc/HBaseServer:channelWrite:1134
