sleepyline.cause,method,failureID.Uniq.Count,test
java/util/concurrent/ConcurrentHashMap.values()Ljava/util/Collection;,OBO,26,26
java/util/concurrent/ConcurrentLinkedDeque.addLast(Ljava/lang/Object;)V,OBO,1,1
java/util/concurrent/ConcurrentLinkedDeque.offerLast(Ljava/lang/Object;)Z,BIS,2,2
java/util/concurrent/ConcurrentLinkedDeque.offerLast(Ljava/lang/Object;)Z,OBO,3,3
java/util/concurrent/ConcurrentLinkedDeque.peekFirst()Ljava/lang/Object;,OBO,1,1
java/util/concurrent/ConcurrentLinkedDeque.pollFirst()Ljava/lang/Object;,OBO,1,1
java/util/concurrent/ConcurrentLinkedDeque.pollLast()Ljava/lang/Object;,BIS,2,2
java/util/concurrent/ConcurrentLinkedDeque.pollLast()Ljava/lang/Object;,OBO,2,2
java/util/concurrent/ConcurrentLinkedDeque.size()I,OBO,1,1
java/util/concurrent/ConcurrentLinkedQueue.add(Ljava/lang/Object;)Z,BIS,9,9
java/util/concurrent/ConcurrentLinkedQueue.add(Ljava/lang/Object;)Z,OBO,7,7
java/util/concurrent/ConcurrentLinkedQueue.iterator()Ljava/util/Iterator;,BIS,49,49
java/util/concurrent/ConcurrentLinkedQueue.iterator()Ljava/util/Iterator;,OBO,43,43
java/util/concurrent/ConcurrentLinkedQueue.offer(Ljava/lang/Object;)Z,BIS,17,17
java/util/concurrent/ConcurrentLinkedQueue.offer(Ljava/lang/Object;)Z,OBO,18,18
java/util/concurrent/ConcurrentLinkedQueue.poll()Ljava/lang/Object;,BIS,14,14
java/util/concurrent/ConcurrentLinkedQueue.poll()Ljava/lang/Object;,OBO,7,7
java/util/concurrent/ConcurrentLinkedQueue.size()I,OBO,5,5
java/util/concurrent/ConcurrentMap.putIfAbsent(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,BIS,40,40
java/util/concurrent/ConcurrentMap.putIfAbsent(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,OBO,44,44
java/util/concurrent/ConcurrentMap.remove(Ljava/lang/Object;Ljava/lang/Object;)Z,BIS,9,9
java/util/concurrent/ConcurrentMap.remove(Ljava/lang/Object;Ljava/lang/Object;)Z,OBO,5,5
java/util/concurrent/ConcurrentNavigableMap.tailMap(Ljava/lang/Object;Z)Ljava/util/concurrent/ConcurrentNavigableMap;,BIS,3,3
java/util/concurrent/ConcurrentSkipListMap.get(Ljava/lang/Object;)Ljava/lang/Object;,BIS,2,2
