method,totalConfigs,sleepyline.cause,config.Count,proportion
BIS,14666,java/util/concurrent/CompletableFuture.complete(Ljava/lang/Object;)Z,50,0.0034092458748124915
BIS,14666,java/util/concurrent/CompletableFuture.completedFuture(Ljava/lang/Object;)Ljava/util/concurrent/CompletableFuture;,84,0.005727533069684986
BIS,14666,java/util/concurrent/CompletableFuture.get()Ljava/lang/Object;,80,0.005454793399699986
BIS,14666,java/util/concurrent/CompletableFuture.isDone()Z,96,0.006545752079639984
BIS,14666,java/util/concurrent/CompletableFuture.join()Ljava/lang/Object;,46,0.003136506204827492
BIS,14666,java/util/concurrent/CompletableFuture.runAsync(Ljava/lang/Runnable;Ljava/util/concurrent/Executor;)Ljava/util/concurrent/CompletableFuture;,59,0.00402291013227874
BIS,14666,java/util/concurrent/CompletableFuture.supplyAsync(Ljava/util/function/Supplier;Ljava/util/concurrent/Executor;)Ljava/util/concurrent/CompletableFuture;,5,0.00034092458748124913
BIS,14666,java/util/concurrent/CompletableFuture.thenApply(Ljava/util/function/Function;)Ljava/util/concurrent/CompletableFuture;,4,0.0002727396699849993
BIS,14666,java/util/concurrent/CompletableFuture.thenCompose(Ljava/util/function/Function;)Ljava/util/concurrent/CompletableFuture;,4,0.0002727396699849993
BIS,14666,java/util/concurrent/CompletableFuture.thenRun(Ljava/lang/Runnable;)Ljava/util/concurrent/CompletableFuture;,2,0.00013636983499249966
BIS,14666,java/util/concurrent/CompletableFuture.whenComplete(Ljava/util/function/BiConsumer;)Ljava/util/concurrent/CompletableFuture;,29,0.0019773626073912452
BIS,14666,java/util/concurrent/CompletionService.submit(Ljava/util/concurrent/Callable;)Ljava/util/concurrent/Future;,2,0.00013636983499249966
BIS,14666,java/util/concurrent/CompletionService.take()Ljava/util/concurrent/Future;,2,0.00013636983499249966
BIS,14666,java/util/concurrent/ConcurrentHashMap.containsKey(Ljava/lang/Object;)Z,250,0.017046229374062458
BIS,14666,java/util/concurrent/ConcurrentHashMap.get(Ljava/lang/Object;)Ljava/lang/Object;,347,0.02366016637119869
BIS,14666,java/util/concurrent/ConcurrentHashMap.put(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,196,0.013364243829264967
BIS,14666,java/util/concurrent/ConcurrentHashMap.putIfAbsent(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,15,0.0010227737624437475
BIS,14666,java/util/concurrent/ConcurrentHashMap.remove(Ljava/lang/Object;)Ljava/lang/Object;,93,0.006341197327151234
BIS,14666,java/util/concurrent/ConcurrentHashMap.size()I,68,0.004636574389744988
BIS,14666,java/util/concurrent/ConcurrentHashMap.values()Ljava/util/Collection;,68,0.004636574389744988
BIS,14666,java/util/concurrent/ConcurrentLinkedDeque.offerLast(Ljava/lang/Object;)Z,14,0.0009545888449474976
BIS,14666,java/util/concurrent/ConcurrentLinkedDeque.pollLast()Ljava/lang/Object;,3,0.0002045547524887495
BIS,14666,java/util/concurrent/ConcurrentLinkedQueue.add(Ljava/lang/Object;)Z,19,0.0012955134324287468
