method,sleepyline.cause,configIdx,test
BIS,java/util/concurrent/atomic/AtomicIntegerFieldUpdater.get(Ljava/lang/Object;)I,10,10
BIS,java/util/concurrent/atomic/AtomicIntegerFieldUpdater.getAndAdd(Ljava/lang/Object;I)I,46,46
BIS,java/util/concurrent/atomic/AtomicIntegerFieldUpdater.newUpdater(Ljava/lang/Class;Ljava/lang/String;)Ljava/util/concurrent/atomic/AtomicIntegerFieldUpdater;,57,57
BIS,java/util/concurrent/atomic/AtomicIntegerFieldUpdater.set(Ljava/lang/Object;I)V,61,61
BIS,java/util/concurrent/atomic/AtomicLong.addAndGet(J)J,277,277
BIS,java/util/concurrent/atomic/AtomicLong.compareAndSet(JJ)Z,67,67
BIS,java/util/concurrent/atomic/AtomicLong.decrementAndGet()J,1,1
BIS,java/util/concurrent/atomic/AtomicLong.get()J,471,471
BIS,java/util/concurrent/atomic/AtomicLong.getAndAdd(J)J,10,10
BIS,java/util/concurrent/atomic/AtomicLong.getAndIncrement()J,69,69
BIS,java/util/concurrent/atomic/AtomicLong.incrementAndGet()J,416,416
BIS,java/util/concurrent/atomic/AtomicLong.longValue()J,24,24
BIS,java/util/concurrent/atomic/AtomicLong.set(J)V,110,110
BIS,java/util/concurrent/atomic/AtomicLongFieldUpdater.addAndGet(Ljava/lang/Object;J)J,186,186
BIS,java/util/concurrent/atomic/AtomicLongFieldUpdater.newUpdater(Ljava/lang/Class;Ljava/lang/String;)Ljava/util/concurrent/atomic/AtomicLongFieldUpdater;,7,7
BIS,java/util/concurrent/atomic/AtomicReference.compareAndSet(Ljava/lang/Object;Ljava/lang/Object;)Z,37,37
BIS,java/util/concurrent/atomic/AtomicReference.get()Ljava/lang/Object;,251,251
BIS,java/util/concurrent/atomic/AtomicReference.getAndSet(Ljava/lang/Object;)Ljava/lang/Object;,2,2
BIS,java/util/concurrent/atomic/AtomicReference.set(Ljava/lang/Object;)V,11,11
BIS,java/util/concurrent/atomic/AtomicReferenceArray.get(I)Ljava/lang/Object;,105,105
BIS,java/util/concurrent/atomic/AtomicReferenceArray.length()I,18,18
BIS,java/util/concurrent/atomic/AtomicReferenceArray.set(ILjava/lang/Object;)V,3,3
BIS,java/util/concurrent/atomic/AtomicReferenceFieldUpdater.compareAndSet(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Z,174,174
BIS,java/util/concurrent/atomic/AtomicReferenceFieldUpdater.getAndSet(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,7,7
BIS,java/util/concurrent/atomic/AtomicReferenceFieldUpdater.newUpdater(Ljava/lang/Class;Ljava/lang/Class;Ljava/lang/String;)Ljava/util/concurrent/atomic/AtomicReferenceFieldUpdater;,36,36
